,date,type,hnl
632,2022-11-16,Salas,761544495.6999996
633,2022-11-16,Agencias,121488678.96
634,2022-11-17,Salas,730490991.9900004
635,2022-11-17,Agencias,124742087.15000002
636,2022-11-18,Salas,652233969.4599998
637,2022-11-18,Agencias,128129556.35
638,2022-11-19,Salas,791360523.0399997
639,2022-11-19,Agencias,123942812.20000003
640,2022-11-20,Salas,811541847.2099998
641,2022-11-20,Agencias,109418169.85999998
642,2022-11-21,Salas,812275453.6999999
643,2022-11-21,Agencias,108967589.44
644,2022-11-22,Salas,627463249.3800001
645,2022-11-22,Agencias,123101314.29999998
646,2022-11-23,Salas,780357051.4799999
647,2022-11-23,Agencias,130432503.64999999
648,2022-11-24,Salas,749902922.4900001
649,2022-11-24,Agencias,128911943.31000002
650,2022-11-25,Salas,689589128.2799999
651,2022-11-25,Agencias,113628055.08999999
652,2022-11-26,Salas,769308939.4000001
653,2022-11-26,Agencias,119455217.07999998
654,2022-11-27,Salas,792476110.7
655,2022-11-27,Agencias,117647742.27000001
656,2022-11-28,Salas,793887310.0699999
657,2022-11-28,Agencias,116583832.46
658,2022-11-29,Salas,764612150.8300003
659,2022-11-29,Agencias,130485081.09999993
660,2022-11-30,Salas,868543791.7900001
661,2022-11-30,Agencias,142855784.26999995
662,2022-12-01,Salas,791076878.1600001
663,2022-12-01,Agencias,129852028.25999998
